user_hash,repo,cheapest_model,cheapest_usd_per_line,dearest_model,dearest_usd_per_line,ratio
61d088a119,entireio/cli-checkpoints,gpt-5.4-mini,0.0015741323127592094,gpt-5.5,0.5885122835261021,373.8645593867084
e444727853,JustinBeaudry/kb,claude-haiku-4-5-20251001,4.1672432683379756e-05,claude-opus-4-7,0.008774741471316941,210.56465644772825
0ea4a0db01,entireio/cli-checkpoints,gpt-5.5,0.005295515020887032,claude-opus-4-8,0.9224430657894738,174.19326772770796
dddf0ac818,SnowingFox/skills,gpt-5.4,0.0084084875,claude-opus-4-6,1.428885027777779,169.93365665082797
ffad3509ca,E2E-Solution/cli,claude-opus-4-6,0.00683193289416413,claude-opus-4-5-20251101,1.1172385,163.53183166572825
0938f59cc7,135yshr/documents,claude-opus-4-6,0.0050334965988937065,claude-opus-4-7,0.7049849850746267,140.05869900251304
760061f6bf,Safecast/safecast-new-map,claude-sonnet-4-5-20250929,0.00026815189514641267,claude-opus-4-6,0.028539385139573065,106.42992145921764
0161eecd96,entireio/cli-checkpoints,gpt-5.4,0.00921933056745182,claude-opus-4-7,0.8730257429577467,94.69513394387886
b2e68a9749,entireio/git-sync,claude-opus-4-7,0.0015355332898172324,claude-opus-4-8,0.13107303233830844,85.35994185701404
bea79cf809,itsmaleen/dispatch,claude-opus-4-5-20251101,0.00022415476644423258,claude-sonnet-4-5-20250929,0.018738477642821254,83.59615965375065
fd678cccd6,entireio/cli-checkpoints,claude-opus-4-6,0.0023180674094160883,claude-opus-4-7,0.183185511086696,79.02510097100226
3a47328bc0,zchee/zmux,gpt-5.4-mini,0.0008770526011560693,gpt-5.4,0.06911642378967903,78.8053347069202
758e971770,YESS-lab/s26_3_31_class_and_guide,claude-sonnet-4-5-20250929,0.000552615687679083,claude-opus-4-6,0.03887664001171648,70.35022870051613
926e27eecd,pskoett/pskoett-ai-skills,claude-opus-4-7,0.002820737808896211,claude-opus-4-6,0.1511455898748578,53.58370756692303
8a0594d4b8,adrientaudiere/MiscMetabar,claude-sonnet-4-6,0.0003018008805234105,claude-opus-4-8,0.015273703690101437,50.608545818727876
18ed86d074,blackgirlbytes/planetfall-seed-signalkit,claude-sonnet-4-6,0.003118914186851211,claude-fable-5,0.15176896716101695,48.66083453044268
e5afd70a0a,wodsmith/thewodapp,claude-opus-4-7,0.00217001217066457,claude-fable-5,0.10028670226969295,46.21481096992188
8d7b914e55,ta93abe/me,claude-opus-4-6,0.005869705371416392,claude-opus-4-8,0.2009192191358024,34.22986443480033
5a4134dfc3,1natsu-vacation/agent-skills,claude-opus-4-6,0.026136981457286435,claude-opus-4-8,0.7964514026548672,30.472202918934755
6c63212ab4,entireio/cli-checkpoints,claude-opus-4-8,0.06527092679369134,claude-fable-5,1.9379345723684214,29.69062441067911
51dc30ddc4,entireio/cli-checkpoints,gpt-5.4,0.021860380494505508,gpt-5.5,0.6209893194444446,28.407068193553492
cc0b9cb559,InTheCloudDan/family-schedule-agent-conversations,claude-opus-4-7,0.004499084773708921,claude-fable-5,0.12579169511677285,27.95939650923129
e6ac3dbbab,entireio/git-sync,gpt-5.5,0.036471777777777784,claude-opus-4-7,0.9271251079664571,25.420343192904443
c60a241074,s4lly/splitzy,claude-sonnet-4-6,0.016565938636363634,claude-opus-4-8,0.3535686157024794,21.343107895278955
26b3d0d892,armelhbobdad/bmad-module-skill-forge,claude-opus-4-6,0.008527824708410861,claude-opus-4-8,0.16940321062083116,19.864762282666458
39a01e366f,entireio/cli-checkpoints,claude-opus-4-6,0.04026595879426488,claude-opus-4-7,0.7679651648334707,19.07231785432743
e6ac3dbbab,entireio/cli-checkpoints,claude-opus-4-6,0.028625744867424238,claude-fable-5,0.5449771150121065,19.03800643567826
fd678cccd6,computermode/test-repo,claude-opus-4-6,0.024448197916666668,claude-opus-4-8,0.46076025000000004,18.846389070087394
ddbb20c557,basher83/domain-chassis,claude-haiku-4-5-20251001,0.00015771091609589042,claude-opus-4-6,0.002914523213194869,18.480161585154946
9ea3e7bea0,entireio/cli-checkpoints,claude-opus-4-8,0.01725867313616759,claude-opus-4-7,0.3091999619047619,17.915627665303933
