user_hash,repo,session_model,sessions,usd,committed_lines,usd_per_committed_line,ctx_tokens_per_committed_line
0161eecd96,ashtom/react-split-flap-display,gpt-5.5,3,120.86535000000009,119,1.0156752100840343,1489220.0168067226
0161eecd96,ashtom/react-split-flap-display,claude-opus-4-8,4,86.56013999999996,297,0.2914482828282827,309238.63973063976
0161eecd96,entireio/cli-checkpoints,claude-opus-4-7,4,185.95448325000004,213,0.8730257429577467,1226611.5539906104
0161eecd96,entireio/cli-checkpoints,gpt-5.4,10,17.2217095,1868,0.00921933056745182,24235.253211991436
0267d3edb4,vancityAyush/sshx,gpt-5.4,4,8.267658,0,,
0267d3edb4,vancityAyush/sshx,claude-sonnet-4-6,4,8.0136933,951,0.008426596529968454,14976.813880126183
02a76a9b19,m0nhawk/incomplete.fun,gpt-5.5,9,14.120466000000002,4555,0.0030999925356750826,3115.5951701427
02a76a9b19,m0nhawk/incomplete.fun,claude-sonnet-4-6,10,11.624395800000002,623,0.018658741252006422,26844.876404494382
04788c4f52,parthjeet/taskflow,claude-opus-4-6,10,50.88744750000001,152044,0.00033468895517087163,424.62085975112467
04788c4f52,parthjeet/taskflow,claude-sonnet-4-6,22,30.703078950000002,38244,0.0008028208071854409,1083.7203744378203
051a9911de,BIDEquity/outbid-dirigent,claude-opus-4-7,24,673.6660734,47989,0.014037926887411697,16046.98897664048
051a9911de,BIDEquity/outbid-dirigent,claude-opus-4-6,15,350.4339926,19629,0.017852870375464874,21592.329053950787
051a9911de,BIDEquity/outbid-dirigent,claude-opus-4-8,7,78.55369000000002,35196,0.0022318925446073424,1316.5087794067508
051a9911de,BIDEquity/outbid-dirigent,claude-sonnet-4-6,8,20.2717191,2860,0.007088013671328671,11408.79965034965
051a9911de,BIDEquity/outbid-dirigent,claude-haiku-4-5-20251001,4,1.7600779000000002,357,0.004930190196078432,28050.12324929972
0938f59cc7,135yshr/documents,claude-opus-4-6,51,269.35247000000004,53512,0.0050334965988937065,6228.513137240245
0938f59cc7,135yshr/documents,claude-opus-4-7,4,47.23399399999999,67,0.7049849850746267,1082126.462686567
0938f59cc7,135yshr/documents,claude-sonnet-4-6,10,19.738280399999997,157,0.12572153121019106,193821.0382165605
0b30293d06,baotoq/micro-commerce,claude-opus-4-6,19,43.3524985,28889,0.0015006576378552392,1446.6658589774654
0b30293d06,baotoq/micro-commerce,claude-sonnet-4-6,10,13.522559699999999,6765,0.001998900177383592,3793.5747228381374
0ea4a0db01,entireio/cli-checkpoints,claude-opus-4-7,19,188.8128994999999,1105,0.17087140226244335,196289.792760181
0ea4a0db01,entireio/cli-checkpoints,claude-opus-4-6,28,162.40054800000004,5045,0.0321903960356789,44435.33994053518
0ea4a0db01,entireio/cli-checkpoints,gpt-5.5,15,119.159679,22502,0.005295515020887032,7451.504710692383
0ea4a0db01,entireio/cli-checkpoints,gpt-5.4,17,59.19921499999997,2173,0.027243080994017472,59828.35342843994
0ea4a0db01,entireio/cli-checkpoints,claude-opus-4-8,4,35.052836500000005,38,0.9224430657894738,862478.1578947369
106bf3191c,galactica-labs/project-atlas,claude-sonnet-4-6,8,21.144446099999996,4926,0.004292416991473811,8412.53857084856
106bf3191c,galactica-labs/project-atlas,claude-sonnet-4.6,11,11.24215175,6598,0.0017038726508032736,1951.6221582297667
1237ff3ed0,pc035860/agent-tail,claude-opus-4-7,7,517.9516505000001,922,0.5617696860086769,761265.7462039045
1237ff3ed0,pc035860/agent-tail,claude-opus-4-6,13,153.57084650000007,4723,0.0325155296421766,50234.28964641118
1237ff3ed0,pc035860/cee,claude-opus-4-6,18,95.18872700000001,1364,0.06978645674486804,78267.64442815249
1237ff3ed0,pc035860/cee,claude-sonnet-4-6,13,28.2040277,601,0.046928498668885196,70963.96672212979
1237ff3ed0,pc035860/cee,glm-5,4,0.0,287,0.0,223296.20209059233
171ca65f38,dayhaysoos/nimbus,gpt-5.4,78,586.2250452000003,173271,0.0033832842495281974,7618.951838449596
171ca65f38,dayhaysoos/nimbus,gpt-5.3-codex,481,453.0396384500002,1071215,0.00042292129819877447,208.55322974379558
18ed86d074,blackgirlbytes/planetfall-seed-signalkit,gpt-5.5,45,420.429204,4897,0.08585444231161936,94070.6465182765
18ed86d074,blackgirlbytes/planetfall-seed-signalkit,claude-opus-4-8,11,222.38823700000003,5808,0.0382899857093664,42768.53942837466
18ed86d074,blackgirlbytes/planetfall-seed-signalkit,claude-fable-5,5,143.269905,944,0.15176896716101695,77910.96504237287
18ed86d074,blackgirlbytes/planetfall-seed-signalkit,claude-sonnet-4-6,4,0.9013662,289,0.003118914186851211,3256.287197231834
1a4c5ee96d,petercr/ccw,claude-sonnet-4-6,7,12.048434799999999,666,0.018090742942942942,23514.62162162162
1a4c5ee96d,petercr/ccw,claude-opus-4-6,3,9.189995499999998,140,0.06564282499999999,83805.62142857142
1e846dc231,Coderx85/wave,claude-haiku-4.5,3,4.848179399999999,922,0.005258329067245118,19022.259219088937
1e846dc231,Coderx85/wave,mimo-v2.5-free,9,0.0,12519,0.0,7184.677849668504
1e846dc231,Coderx85/wave,nemotron-3-super-free,4,0.0,1996,0.0,1395.1523046092184
1e846dc231,Coderx85/wave,big-pickle,36,0.0,15890,0.0,15317.457835116425
1f28e49f34,404-NFYet/adelie-investment,claude-opus-4-6,32,181.90204830000002,44677,0.004071492004834702,4928.817892875529
1f28e49f34,404-NFYet/adelie-investment,claude-sonnet-4-6,38,90.47919199999998,79199,0.001142428465005871,2040.4146138208816
2038a55d9b,cyrilagbewalikoku-oss/G10COS498_AiUseTutor,claude-opus-4-7,6,64.981075,8224,0.007901395306420233,9209.312256809339
2038a55d9b,cyrilagbewalikoku-oss/G10COS498_AiUseTutor,glm-5.1,4,0.0,1893,0.0,6910.469096671949
235e0836d3,Coopeh/code-insights,claude-opus-4-6,74,590.71456775,113549,0.0052022877149952886,5877.077279412412
235e0836d3,Coopeh/code-insights,claude-sonnet-4-6,4,14.133629399999998,523,0.027024147992351814,45009.24282982792
256d8d4066,eitatech/gatomia-vscode,gpt-5.4,18,12.412984499999999,5753,0.0021576541804276027,312.9972188423431
256d8d4066,eitatech/gatomia-vscode,gemini-3.1-pro-preview,25,0.0,2856,0.0,10854.276610644258
26b3d0d892,armelhbobdad/bmad-module-skill-forge,claude-opus-4-7,163,1510.7127655,53221,0.028385651631874634,39723.8679280735
26b3d0d892,armelhbobdad/bmad-module-skill-forge,claude-opus-4-6,138,989.97811475,116088,0.008527824708410861,10538.462089104816
26b3d0d892,armelhbobdad/bmad-module-skill-forge,claude-opus-4-8,9,330.16685749999994,1949,0.16940321062083116,197419.48486403283
2720d15ba7,roo-oliv/monodreams,claude-opus-4-8,18,649.3361707500001,44547,0.014576428732574585,13948.005836532202
2720d15ba7,roo-oliv/monodreams,claude-opus-4-7,5,205.2888937500002,71068,0.0028886262980525722,3151.779408453875
2720d15ba7,roo-oliv/monodreams,claude-opus-4-6,52,116.275389,27548,0.004220828698998112,4958.449034412662
29874d272f,tslateman/duet,claude-opus-4-6,9,78.56783549999994,625,0.1257085367999999,86583.6928
29874d272f,tslateman/duet,claude-sonnet-4-6,6,3.2899182000000002,321,0.010248966355140188,13432.532710280373
29874d272f,tslateman/shipyard,claude-opus-4-6,19,96.50395549999999,22232,0.004340768059553796,4136.892632241814
29874d272f,tslateman/shipyard,claude-sonnet-4-6,8,6.113238300000001,9898,0.0006176235906243686,688.6114366538694
3915f81a8e,lightfastai/lightfast,claude-opus-4-7,112,709.736764,72542,0.009783804747594497,10671.97160265777
3915f81a8e,lightfastai/lightfast,claude-opus-4-6,158,459.64664700000014,151939,0.003025205161281831,2950.3934078807943
39a01e366f,entireio/cli-checkpoints,claude-opus-4-7,52,3735.382561750001,4864,0.7679651648334707,1016162.029194079
39a01e366f,entireio/cli-checkpoints,gpt-5.5,80,2742.104333000002,16385,0.16735455190723236,223910.89697894416
39a01e366f,entireio/cli-checkpoints,claude-opus-4-6,23,651.54347925,16181,0.04026595879426488,56742.9592114208
39a01e366f,entireio/cli-checkpoints,claude-opus-4-8,17,534.6517330000003,794,0.6733649030226704,947711.5994962216
39a01e366f,entireio/cli-checkpoints,gpt-5.4,8,74.38553750000001,259,0.2872028474903475,642027.6563706563
3a47328bc0,zchee/spanner-manager,gpt-5.4,80,175.69795800000003,11483,0.015300701732996606,34317.416180440654
3a47328bc0,zchee/spanner-manager,gpt-5.5,43,143.61588899999992,5262,0.027293023375142517,34733.00874192322
