file_path_80,agent,writes_on_known_file,content_chars,usd
REDACTED.md,claude_code,46,526643,3.0628187500000017
README.md,claude_code,73,370522,2.0391607499999997
/Users/jk/Downloads/outbid-vs-harness-engineering.html,claude_code,5,262100,1.638125
src/droneBayView.js,claude_code,4,223265,1.3954062500000002
/home/hj/.claude/plans/hidden-noodling-bird.md,claude_code,25,175840,1.0990000000000004
docs/superpowers/plans/2026-04-20-entire-attach-picker.md,claude_code,3,170618,1.0663625
/home/hj/.claude/plans/cuddly-fluttering-key.md,claude_code,28,193579,0.78329625
static/index.html,claude_code,3,110747,0.69216875
docs/superpowers/plans/2026-04-28-recap-perf-and-accuracy.md,claude_code,2,105714,0.6607125
attribution-playground.html,claude_code,3,104480,0.653
apps/wodsmith-start/src/routes/compete/organizer/$competitionId/athletes/-compon,claude_code,8,90796,0.5674750000000001
REDACTED.py,claude_code,15,90264,0.5641499999999999
src/islandView.js,claude_code,4,87978,0.5498625
docs/superpowers/plans/2026-05-20-entire-review-redesign.md,claude_code,1,85695,0.53559375
projects/frontend/src/pages/ops/ImportFlow.tsx,opencode,4,142545,0.5345437500000001
CLAUDE.md,claude_code,22,96679,0.51300375
app/src/client/routes/tool-registry-page.test.tsx,claude_code,4,74901,0.46813125
index.html,claude_code,9,79174,0.46208124999999994
/home/hj/.claude/plans/synthetic-weaving-toucan.md,claude_code,21,99654,0.44905000000000006
/Users/rodrigooliveira/.claude/plans/i-think-monodreams-is-velvet-hearth.md,claude_code,6,71261,0.44538125
