session_id,turn_idx,agent,n_text_chars,read_time_s,delta_s,text_usd
ses_10a768004ffeHAmBUOMS9czhcG,5,opencode,34952,1677.696,293.718,
e5a3e2c6-422a-4a20-9af8-61afddb2b6c5,1,claude_code,31832,1527.936,181.022,0.19895
e5a3e2c6-422a-4a20-9af8-61afddb2b6c5,2,claude_code,28635,1374.48,95.183,0.17896875
019e56aa-18c9-7122-9658-3077c7106725,2,codex,22221,1066.608,13.713,0.1666575
c58456d9-709a-4a41-b50b-241f0e065cee,8,claude_code,18802,902.4960000000001,125.853,0.1175125
2e3df92b-358b-4e2f-83f5-8b62591ddca5,1,claude_code,18618,893.664,344.234,0.1163625
261e433d-477e-4516-9fbf-2eba6dd912ac,2,claude_code,18537,889.7760000000001,108.245,0.11585625
0929f616-70fa-4c45-a0f9-02d932d95aa3,7,claude_code,18070,867.36,128.399,0.0677625
bb028fb8-27a3-4fc5-8c43-5208f3e988ba,7,claude_code,17707,849.9359999999999,301.161,0.11066875
0020a454-e7a8-43c9-ba7a-4e85bfa59f81,3,claude_code,17209,826.032,128.093,0.10755625
2e3df92b-358b-4e2f-83f5-8b62591ddca5,7,claude_code,16716,802.3679999999999,219.374,0.104475
5ed9f5ff-3132-461d-ab9d-82ad2068a401,1,claude_code,16666,799.968,42.066,0.1041625
27c10fbd-3055-4d96-8e88-8a95ee2d9e1e,3,claude_code,16398,787.1039999999999,232.601,0.1024875
f91cf4d2-1b71-4a98-a77f-464647caccb6,22,claude_code,16374,785.9520000000001,170.765,0.1023375
b14a73cd-50c9-47ac-abfd-c13933046912,12,claude_code,15880,762.24,27.482,0.09925
019e6252-572e-7c62-a9ae-4b7341b06e3b,2,codex,15733,755.184,92.524,0.1179975
0929f616-70fa-4c45-a0f9-02d932d95aa3,5,claude_code,14985,719.28,142.453,0.05619375
aaa2322e-c03b-46fe-b73b-07239acb0f17,1,claude_code,14483,695.184,284.025,0.09051875
3cc5038a-01e9-49c6-896a-7f708bcf00d4,1,claude_code,14483,695.184,284.025,0.1810375
019e57fe-8571-7122-a65d-3a151cb21cc1,2,codex,14116,677.568,7.144,0.10587
