agent,outcome,sessions,pct_of_agent_sessions,usd,pct_of_agent_usd,median_session_usd,median_calls
claude_code,committed,6384,88.29875518672199,73912.6933524502,76.40257342522484,2.6994915000000006,41.0
claude_code,no attribution,513,7.095435684647303,18107.809102149982,18.717802744650037,9.285001500000003,94.0
claude_code,zero committed lines,333,4.605809128630705,4720.601985799998,4.87962383012512,2.2798000000000003,35.0
codex,committed,969,83.03341902313625,13268.598126399998,69.65718247199543,2.1126959999999997,40.0
codex,no attribution,74,6.341045415595544,4940.436903500002,25.936192474905408,14.252123500000003,183.0
codex,zero committed lines,124,10.62553556126821,839.3927926500004,4.406625053099166,1.5814645,30.5
cursor,committed,81,94.18604651162791,0.0,,0.0,24.0
cursor,no attribution,2,2.3255813953488373,0.0,,0.0,13.5
cursor,zero committed lines,3,3.488372093023256,0.0,,0.0,329.0
opencode,committed,744,95.01915708812261,869.0808341999995,97.95930766612044,0.24454587499999997,12.0
opencode,no attribution,13,1.6602809706257982,5.967116999999998,0.6725895073049325,0.0,10.0
opencode,zero committed lines,26,3.3205619412515963,12.137610749999993,1.368102826574634,0.0,14.5
